number_photo,uav_lat,uav_lon,uav_alt,point_lat,point_lon,point_bearing,point_pitch,zoom,slt
27,39.75945,-8.403348,4500,39.761401,-8.40317,4,-10,1,1388
28,39.759624,-8.404533,4500,39.761582,-8.404632,359,-10,2,1388
29,39.759966,-8.426209,4887.2,39.76257,-8.425658,7,-12,3.9,1402
30,39.760112,-8.433932,4501.1,39.760535,-8.433825,8,0,8,1372
31,39.760973,-8.436261,4500,39.761828,-8.436104,8,-5,8,1374
32,39.759377,-8.420793,4892.6,39.761098,-8.420518,6,-9,12.3,1383
33,39.759352,-8.409942,4502.2,39.761305,-8.409965,5,-10,16.1,1389
34,39.759352,-8.409609,4900.9,39.761525,-8.409277,4,-10,16.1,1393
35,39.759347,-8.402708,4899.6,39.761744,-8.402545,3,-11,20.7,1397
36,39.759352,-8.399166,4893.7,39.761306,-8.399122,2,-10,30.9,1387
37,39.759387,-8.393185,4893.8,39.761121,-8.393185,1,-9,24.7,1383
38,39.805042,-8.443572,4888.5,39.807154,-8.442887,13,-11,1,1391
39,39.805012,-8.422902,4897.7,39.807163,-8.422458,9,-10,2,1392
40,39.805056,-8.414286,4891.1,39.806999,-8.41402,7,-9,4,1387
41,39.805123,-8.401008,4889.7,39.806855,-8.400890,4,-8,8.3,1383
42,39.805174,-8.395926,4889,39.806691,-8.395662,3,-7,8.3,1380
43,39.80519,-8.394755,4889.6,39.806705,-8.394755,1,-8,8.3,1380
44,39.805427,-8.380462,4891,39.80716,-8.380581,357,-8,12,1384
45,39.805642,-8.38156,4882.5,39.807592,-8.381737,357,-9,15.7,1387
46,39.805625,-8.391985,4500,39.80758,-8.392184,0,-9,20.1,1388
47,39.805607,-8.400817,4498.2,39.807563,-8.400773,2,-9,25.2,1388
48,39.805603,-8.407975,4895,39.80823,-8.408056,3,-12,24.2,1402
49,39.85095,-8.414917,5000,39.853967,-8.414434,7,-13,1,1500
50,39.851179,-8.434859,4803.4,39.85393,-8.434162,13,-12,2,1497
51,39.851369,-8.453091,4803.8,39.855444,-8.451367,19,-19,3.9,1539
52,39.851335,-8.455221,5215.8,39.854231,-8.453996,19,-13,4.1,1503
53,39.851415,-8.463519,5212.3,39.854943,-8.461755,21,-16,8.1,1522
54,39.851454,-8.475547,4800.4,39.854432,-8.473738,25,-14,12.2,1508
55,39.851452,-8.47586,4799.9,39.85443,-8.474051,26,-14,12.2,1508
56,39.851398,-8.486662,5209.5,39.854297,-8.484654,28,-15,15.8,1507
57,39.851361,-8.490461,5000,39.852775,-8.48944,30,-7,15.8,1473
58,39.85114,-8.482981,4801,39.85276,-8.481811,29,-9,15.8,1477
59,39.850905,-8.467064,5000,39.853228,-8.465795,25,-10,20.6,1490
60,39.850809,-8.460358,5000,39.853184,-8.459108,23,-11,24.8,1490
61,39.850795,-8.459498,5000,39.85317,-8.458248,22,-12,24.8,1490
62,39.850777,-8.45857,5221.5,39.852725,-8.457596,22,-10,24.8,1481
63,39.850771,-8.458216,5221.8,39.85294,-8.457131,22,-11,24.8,1486
64,39.888835,-8.437877,5000,39.892405,-8.436275,19,-16,1,1521
65,39.88891,-8.450157,5000,39.892882,-8.448065,23,-19,2,1539
66,39.888924,-8.460667,5000,39.892284,-8.458436,27,-17,4,1519
67,39.889118,-8.473736,5210,39.892533,-8.470956,32,-17,8,1529
68,39.889212,-8.481508,4799.3,39.892305,-8.478685,35,-16,12.2,1521
69,39.889331,-8.494386,4803.1,39.892308,-8.491354,39,-17,16.2,1522
70,39.8894,-8.501614,5205.7,39.892103,-8.498658,40,-15,18.7,1514
71,39.889413,-8.505289,4796.9,39.891891,-8.502481,42,-14,25.4,1507
72,39.889414,-8.506771,5200,39.891707,-8.504173,42,-14,24.3,1499
73,39.889416,-8.507944,5200.7,39.891495,-8.50583,43,-13,24.3,1494