,number_photo,uav_lat,uav_lon,uav_alt,point_lat,point_lon,point_bearing,point_pitch,zoom,slt,d_uav_to_gt,d_uav_to_point,d_point_to_gt
0,27,39.75945,-8.403348,4500.0,39.761401,-8.40317,4,-10,1.0,1388,13.585383829814596,0.11725483044029696,13.468290243164688
1,28,39.759624,-8.404533,4500.0,39.761582000000004,-8.404632000000001,359,-10,2.0,1388,13.576056047569583,0.11747422825997818,13.458803054152469
2,29,39.759966,-8.426209,4887.2,39.762570000000004,-8.425658,7,-12,3.9,1402,13.614620779709712,0.1581815163917981,13.456790387180602
3,30,39.760112,-8.433932,4501.1,39.760535,-8.433825,8,0,8.0,1372,13.644668902416196,0.025838205029917898,13.618896165437365
4,31,39.760973,-8.436261,4500.0,39.761828,-8.436103999999998,8,-5,8.0,1374,13.606980801366538,0.05177065186329619,13.555213189429011
5,32,39.759377,-8.420793,4892.6,39.761098,-8.420518,6,-9,12.3,1383,13.628182693861527,0.10395803732478451,13.524333435215963
6,33,39.759352,-8.409942,4502.2,39.761305,-8.409965,5,-10,16.1,1389,13.600180544859715,0.11708996006672154,13.483235331855584
7,34,39.759352,-8.409609,4900.9,39.761525,-8.409277000000001,4,-10,16.1,1393,13.599566525996098,0.13117700452034248,13.4687930236652
8,35,39.759347,-8.402708,4899.6,39.761744,-8.402545,3,-11,20.7,1397,13.591054993938911,0.14390133476549524,13.447250736222113
9,36,39.759352,-8.399166000000001,4893.7,39.761306,-8.399122,2,-10,30.9,1387,13.589135142820748,0.11716276465410888,13.471983149470564
10,37,39.759387,-8.393185,4893.8,39.761121,-8.393185,1,-9,24.7,1383,13.588773138497315,0.10395576142326994,13.484831505189918
11,38,39.805042,-8.443572,4888.5,39.807154,-8.442886999999999,13,-11,1.0,1391,11.051842531220565,0.13051992265026022,10.92151432069224
12,39,39.805012,-8.422902,4897.7,39.807163,-8.422458,9,-10,2.0,1392,10.912284203746388,0.13058052617242605,10.781886038099021
13,40,39.805056,-8.414286,4891.1,39.806999,-8.414019999999999,7,-9,4.0,1387,10.874962401915159,0.117134078696525,10.757905806791225
14,41,39.805122999999995,-8.401008000000001,4889.7,39.806855,-8.400889999999999,4,-8,8.3,1383,10.84586130833128,0.10397993271497373,10.741964551130248
15,42,39.805174,-8.395926,4889.0,39.806691,-8.395662,3,-7,8.3,1380,10.84236122002298,0.09176260440269751,10.751534618120672
16,43,39.80519,-8.394755,4889.6,39.806705,-8.394755,1,-8,8.3,1380,10.842020117253382,0.09082711784625255,10.751201855031214
17,44,39.805427,-8.380462,4891.0,39.807159999999996,-8.380581,357,-8,12.0,1384,10.857092484361424,0.10404224143766003,10.75307510783414
18,45,39.805642,-8.38156,4882.5,39.807592,-8.381737,357,-9,15.7,1387,10.840564734200973,0.11719233321296833,10.723372403532307
19,46,39.805625,-8.391985,4500.0,39.80758,-8.392184,0,-9,20.1,1388,10.818485005521985,0.11756660254646455,10.701082782389646
20,47,39.805607,-8.400817,4498.2,39.807563,-8.400773,2,-9,25.2,1388,10.816738170741582,0.1172835631169631,10.6994563613968
21,48,39.805603000000005,-8.407975,4895.0,39.80823,-8.408056,3,-12,24.2,1402,10.825966084195665,0.15753817636413087,10.668777857967429
22,49,39.85095,-8.414916999999999,5000.0,39.853967,-8.414434,7,-13,1.0,1500,8.135025193935045,0.1822480645590067,7.952844335047617
23,50,39.851178999999995,-8.434859,4803.4,39.85393,-8.434161999999999,13,-12,2.0,1497,8.260739305202677,0.1680442218718839,8.092712559716771
24,51,39.851369,-8.453091,4803.8,39.855444,-8.451367,19,-19,3.9,1539,8.463244890493677,0.2569657206266639,8.206293561920898
25,52,39.851335,-8.455221,5215.8,39.854231,-8.453996,19,-13,4.1,1503,8.495235100761743,0.1826163011128555,8.312618830819108
26,53,39.851415,-8.463519,5212.3,39.854943,-8.461755,21,-16,8.1,1522,8.617495354931851,0.22667430548297315,8.390832009769714
27,54,39.851454,-8.475547,4800.4,39.854432,-8.473738,25,-14,12.2,1508,8.825497713875178,0.19713737201848458,8.628403856165198
28,55,39.851452,-8.47586,4799.9,39.85443,-8.474051,26,-14,12.2,1508,8.8314762919111,0.19713737299038583,8.634376421675489
29,56,39.851397999999996,-8.486661999999999,5209.5,39.854296999999995,-8.484653999999999,28,-15,15.8,1507,9.04872607584423,0.19701834456690148,8.851754786733846
30,57,39.851361,-8.490461,5000.0,39.852775,-8.48944,30,-7,15.8,1473,9.131332869607885,0.09701666753714018,9.03434015317915
31,58,39.85114,-8.482981,4801.0,39.852759999999996,-8.481811,29,-9,15.8,1477,8.987082174043246,0.11115640227252416,8.876107384965707
32,59,39.850905,-8.467064,5000.0,39.853228,-8.465795,25,-10,20.6,1490,8.704715722295813,0.15111060243925076,8.553649538018831
33,60,39.850809000000005,-8.460358,5000.0,39.853184000000006,-8.459108,23,-11,24.8,1490,8.601620872960028,0.15365642524264453,8.448120032834932
34,61,39.850795,-8.459498,5000.0,39.85317,-8.458248,22,-12,24.8,1490,8.589213185569237,0.1536564293347051,8.435744426975852
35,62,39.850777,-8.45857,5221.5,39.852725,-8.457596,22,-10,24.8,1481,8.576174529056079,0.1251594771345424,8.45109826334397
36,63,39.850771,-8.458216,5221.8,39.852940000000004,-8.457131,22,-11,24.8,1486,8.57120281539811,0.1393670660337661,8.431938926804078
37,64,39.888835,-8.437877,5000.0,39.892405,-8.436275,19,-16,1.0,1521,6.1096761800922295,0.22645776186684846,5.883305687107637
38,65,39.888909999999996,-8.450157,5000.0,39.892882,-8.448065,23,-19,2.0,1539,6.29934060823081,0.2569848032285616,6.042360948436877
39,66,39.888923999999996,-8.460666999999999,5000.0,39.892284000000004,-8.458436,27,-17,4.0,1519,6.499325092327005,0.22626185720822573,6.273080545672032
40,67,39.889117999999996,-8.473736,5210.0,39.892533,-8.470956,32,-17,8.0,1529,6.77917059773382,0.2416632816848511,6.537552507506489
41,68,39.889212,-8.481508,4799.3,39.892305,-8.478685,35,-16,12.2,1521,6.9661297614677276,0.22667780521647385,6.739538442901382
42,69,39.889331,-8.494386,4803.1,39.892308,-8.491354,39,-17,16.2,1522,7.305966972617279,0.2268520720785314,7.079129948986519
43,70,39.8894,-8.501614,5205.7,39.892103000000006,-8.498658,40,-15,18.7,1514,7.510488549023387,0.21188994225016988,7.298610917082119
44,71,39.889413,-8.505289,4796.9,39.891890999999994,-8.502481,42,-14,25.4,1507,7.618979470777429,0.19720026925805026,7.421791400765738
45,72,39.889414,-8.506771,5200.0,39.891707000000004,-8.504173,42,-14,24.3,1499,7.663549944418929,0.18246696587609693,7.481084572541836
46,73,39.889416,-8.507944,5200.7,39.891495,-8.50583,43,-13,24.3,1494,7.699020701143472,0.15832623257977724,7.540932626825721
